Vertex,Distance_to_Border
15313,8.139010782644771
15314,9.157381672036484
15316,10.107662270692451
15317,11.763889512417359
15333,29.44734523001335
15335,27.399770477363223
15336,25.364394425711442
15337,27.392212700472005
15338,27.32910926750858
15339,29.36641805254575
15340,35.372617469690226
15341,33.33435798899542
15342,35.31897039478761
15343,35.258672311036314
15344,37.29643028597651
15345,38.991338582760925
15346,39.03763570997041
15347,42.60607329920331
15348,42.537545460851554
15349,44.286771484437175
15350,45.986605388752274
15351,46.03319422532046
15719,24.634338747551904
15721,22.60298419164066
15722,20.633433868251508
15723,21.69562976319335
15724,21.392872853693202
15725,19.608367277309735
15726,19.42300382335917
15727,17.452022052951392
15728,19.238674191820202
15729,58.64561997378942
15730,56.842251907064494
15731,58.813849153960206
15732,55.51152797256894
15733,55.43972783058353
