,sub_id,Group,hemi,area,linear_fit,slope,y_shift
744,sub-CC01061XX06,2nd,L,ventral,0.06405772725283754,-4.714258751504306,117.63951783143486
745,sub-CC00939XX24,2nd,L,ventral,0.10767509082309845,-5.6012567183677895,119.37607499607482
746,sub-CC00991XX19,2nd,L,ventral,0.005491288040017417,1.3046564047137041,57.00340182123028
747,sub-CC01019XX13,2nd,L,ventral,0.0001616080980524348,0.20226117177032804,54.425966637325075
748,sub-CC01134XX13,2nd,L,ventral,0.042828214167237255,-3.0246315604065335,70.91451405599194
749,sub-CC01067XX12,2nd,L,ventral,0.049159982866599394,-2.647086466711468,58.27328195313433
750,sub-CC00901XX10,2nd,L,ventral,0.06869048258781707,-4.0233027757847015,84.36686326843639
751,sub-CC01258XX13,2nd,L,ventral,0.11213974561451678,-6.026352711479087,124.98626435356331
752,sub-CC00861XX12,2nd,L,ventral,0.08149013225647583,-4.738611423911023,92.56115096388744
753,sub-CC01016XX10,2nd,L,ventral,0.03985090405411662,-3.3201887148647784,85.24418781883345
754,sub-CC01023XX09,2nd,L,ventral,0.095796136560093,-3.6748618081945734,68.17474290732467
755,sub-CC00975XX19,2nd,L,ventral,0.02905409339758569,-2.936705768742372,81.98766871723967
756,sub-CC00938XX23,2nd,L,ventral,0.08318883163507218,-2.7736875387291935,49.24291476409541
757,sub-CC01156XX10,2nd,L,ventral,0.05980077455333588,-4.030041366182573,106.14787205285234
758,sub-CC00918XX19,2nd,L,ventral,0.054023812159375684,-3.3555062263366033,60.48323404072132
759,sub-CC01204XX08,2nd,L,ventral,0.05091669378013475,-3.4503755028125096,68.20885753170283
760,sub-CC01029XX15,2nd,L,ventral,0.059340476472361736,-3.5098130580249753,83.94434200008189
761,sub-CC01030XX08,2nd,L,ventral,0.033248193162188744,-2.4054763417080327,73.48263555735407
762,sub-CC01144XX15,2nd,L,ventral,0.000426066837771244,0.2884070590710134,44.370755086768966
763,sub-CC01121XX08,2nd,L,ventral,0.0628009247711997,-4.203244608360009,90.30976614707582
764,sub-CC01020XX06,2nd,L,ventral,0.0066341009513277704,-1.360311270147477,71.11125968401925
765,sub-CC01032XX10,2nd,L,ventral,0.03108999103897081,2.3904135928679304,29.323229534274027
766,sub-CC01249XX21,2nd,L,ventral,0.11420598591445241,-3.9313976017856653,59.399862216622054
767,sub-CC01007XX09,2nd,L,ventral,0.0212062877222029,-2.4737582879666915,66.57555287280624
768,sub-CC00973XX17,2nd,L,ventral,0.04672392082437371,-3.48713430680411,72.70338017085216
769,sub-CC00877XX20,2nd,L,ventral,0.0013761479192654358,0.5658490931359889,48.76739212758126
770,sub-CC00917XX18,2nd,L,ventral,0.015857942013058346,-1.5221967088646136,56.12498053112723
771,sub-CC01028XX14,2nd,L,ventral,0.008233111099480661,-1.133944010150553,61.80659814178873
772,sub-CC01031XX09,2nd,L,ventral,0.010152161862924003,-1.7205508674178043,66.03671448522216
773,sub-CC01162XX08,2nd,L,ventral,0.10217524411506029,-5.131793451069178,87.87340851379165
774,sub-CC00969XX21,2nd,L,ventral,0.0020224185713518805,-0.540374781592146,39.99210574253362
775,sub-CC00987XX23,2nd,L,ventral,0.05298112497962815,-3.0478972166487135,65.08684207601102
776,sub-CC01195XX17,2nd,L,ventral,0.06477530694603306,-4.556398283306728,97.56824407837478
777,sub-CC00967XX19,2nd,L,ventral,0.002715293709514399,-0.7301985650893248,55.11241571585504
778,sub-CC01138XX17,2nd,L,ventral,0.09908156085835884,-5.424696422147142,105.48423429015698
779,sub-CC01181XX11,2nd,L,ventral,0.08066944698014367,-4.264136240261512,77.69999776925181
780,sub-CC01219XX15,2nd,L,ventral,0.1103188761824333,-5.1472814412609,98.53909918855064
781,sub-CC01157XX11,2nd,L,ventral,0.035174659429867416,-3.2485573392841314,86.1834667023574
782,sub-CC01115XX10,2nd,L,ventral,0.025772030674300783,-1.8313303028437593,47.026948585641684
783,sub-CC01075XX12,2nd,L,ventral,0.009912064559640554,-1.5901215890140454,63.28469356876634
